,Title,Year of Release,Watch Time,Genre,Movie Rating,Metascore of movie,Director,Cast,Votes,Description
23,Kony: Order from Above,2017,90 min,"
War            ",7.8,NA,T. Steve Ayeny,"T. Steve Ayeny,Elizabeth Akullu,Okuyo Prynce Joel,Michael Wawuyo",8,"Two children (Otti and Aguti) fall in love during the tumultuous Northern Uganda Lord's Resistance Army (LRA) insurgency, but are separated when Otti is abducted at the age of 11. While in ...                See full summary »"
24,Imba Means Sing,2015,75 min,"
Documentary, Music            ",7.8,NA,Danielle Bernstein,,70,"IMBA MEANS SING is a character-driven heartfelt story of resilience and the impact of education. The film follow Angel, Moses and Nina from the slums of Kampala, Uganda through a world tour...                See full summary »"
25,RAHMAH: Silent Voices Series,2021,38 min,"
Family            ",NA,NA,Joel Mendez,"Swafrah Kitibah,Fragy Nabulo,Sandra Namuyanja,Kasana Richard",NA,Her dreams bundled to zero for love.
26,Dominique Corti: a Life's Journey,2016 TV Movie,52 min,"
Documentary, Biography            ",NA,NA,Filippo Campo,"Roberto Campo,Francesco Bevilacqua,Bruno Corrado,Dominique Corti,Giuseppina Corti",NA,"International health care advocate, Dr. Dominique Corti is the daughter of one of Canada's first female surgeons, Lucille Teasdale and Italian pediatrician, Piero Corti, founders of the ...                See full summary »"
27,The Pearl of Africa,2016,92 min,"
Documentary, Adventure, Drama            ",6.7,NA,Jonny von Wallström,,130,"Captures an intimate's struggle for the right to love. Following a Ugandan transgender girl, forced to leave her country."
28,Operation Kakongoliro! The Ugandan Expendables,,NA,"
Action            ",NA,NA,Nabwana I.G.G.,,NA,Plot unknown.
29,Veronica's Wish,2018,NA,"
Drama            ",7.0,NA,Rehema Nanfuka,"Nisha Kalema,Mushema Housen,Malaika,Symon Base Kalema",9,'Michael and Veronica are living their soulmate life and engaged to marry but their journey takes a drastic turn when Veronica gets hit by mysterious illness days away from her wedding. Veronica must choose between love and saving lives.
30,Eaten Alive in Uganda,,NA,"
Horror            ",NA,NA,Nabwana I.G.G.,"Alan Hofmanis,Asiimwe Apollo,Kasirye John Bosco,Kazibwe Ronald",NA,Plot unknown.
31,The Return of Uncle Benon,2011,75 min,"
Action            ",8.0,NA,Nabwana I.G.G.,"Bukenya Charles,Lutalo,Sserunya Ernest,Kizza Manshoor",178,Gladwell becomes Madwell and has some badwell guys :)
32,Raising,2020,NA,"
Short, Music            ",NA,NA,Humrich,,NA,Add a Plot
33,Precision: The Child Drug Trafficking,2018,80 min,"
Action            ",7.1,NA,Sserunya Ernest,"Nawambira Alawiya,Ssembatya Ashiraf,Sserunya Ernest,Paul J. Falzone",9,"Duke, the American goes to Kampala, the capital city of Uganda to visit his brother Paul. Once arrived street kids steals his luggage. He decides to go after them. They lure him into a ...                See full summary »"
34,Jamaa,2011,42 min,"
Short, Drama, Family            ",7.8,NA,Michael Landon Jr.,"Benjamin Abemigisha,Joel Atiku Prynce,Joanitta Bewulira-Wandera,Ben Greathead",18,This short is inspired by the true story of two Ugandan AIDS orphans who go on an extraordinary journey and take with them a mysterious box on wheels.
35,The Route,2013,67 min,"
Drama            ",6.2,NA,Jayant Maru,"Felix Bwanika,Ongaria Ezra,Edlyn Sabrina,Detoro Sharon",13,The Route is a feature film about a teenage girl whose dad dies and she is left with her mother who can't afford to pay for her high school so she decide to move to Kampala city to look for...                See full summary »
36,Softwaring Hard,2014,79 min,"
Documentary, News            ",7.3,NA,Alex Sebastian Laibach,"Vanda Ciuban Serban,Sebastian Deery,Antonia Iulia Pop,Marie Goursolas",60,A documentary about the world of software and the software makers. How do people from outside the industry see it and what do people from inside the industry think about regular computer users?
37,Engato,2020,60 min,"
Drama, Sport            ",NA,NA,Moses Devoss,"Moses Devoss,Nana Kay,Nelimah Sumaya,Ssemwanga Juma",NA,"Larry got a measurable life after losing his young brother juma when they were skating, and his retired soldier dad hated him and blamed him for the death of his brother."
38,Jackie and the Genie,2018,120 min,"
Fantasy            ",NA,NA,Andrew Wagaba,"Mutebi Farouke,Nsabimana Innocent,Yasin Lubowa,Patricia Nabakooza",NA,A young girl has a difficult life living on the outskirts of Kampala with problems at home and at school. A chance encounter with a Genie changes her life when he gives her magic powers. ...                See full summary »
39,Who Will Start Another Fire,2021,130 min,"
Drama            ",4.4,NA,Lesley Steele,"Nicole Magabo,Jermaine Manigault,Olive Nwosu,Nicole Otero,Faye Ruiz,Samira Saraya,Peier Tracy Shen,Alex Westfall,Emily Packer",7,"An omnibus film featuring nine works by emerging filmmakers of color, Who Will Start Another Fire is the inaugural project of Dedza Films, a distribution company focused on showcasing ...                See full summary »"
40,Isaak Ninja,2022,NA,"
Action            ",NA,NA,Nabwana I.G.G.,,NA,Add a Plot
41,Power,V 2016,90 min,"
Documentary            ",NA,NA,Michèle Ohayon,"Alexis Spraic,Frances Arnold,Andrew Chung,Daniel Kammen,Nate Lewis",NA,"Power is the electrical and mechanical energy that makes our lives possible. Power is the possession of control, authority or influence over others. Power is the ability to act. We have the...                See full summary »"
42,Black,I 2012,NA,"
Action            ",8.6,NA,Nabwana I.G.G.,"Nalwanga Gloria,Alan Hofmanis,Sserunya Ernest,Bisaso Dauda",43,Add a Plot
43,Kuhani,2013,7 min,"
Short, Fantasy            ",8.7,NA,Ntare Guma Mbaho Mwine,"Charlotte Cornwell,Ntare Guma Mbaho Mwine,Anania Ngoliga,Abiodun Ojora",20,A conflicted African priest wrestles with his conscience.
44,Tiger Mafia,,NA,"
Action            ",NA,NA,Nabwana I.G.G.,,NA,Add a Plot
45,Kyenvu,2018,20 min,"
Short, Drama            ",NA,NA,Kemiyondo Coutinho,"Kemiyondo Coutinho,Michael Wawuyo Jr.,Yusuf Boxa Kaija,Felix Bwanika",NA,An unexpected love affair is formed at a taxi stop in Uganda and is forever changed by a wardrobe choice.
46,Escape from Uganda,2013,173 min,"
Thriller            ",5.2,NA,Rajesh Nair,"Vijay Babu,Sam Bagenda,Joju George,Rima Kallingal",115,A woman gets framed for a crime that she didn't commit. And it is up to her husband to save her from the notorious Uganadan prison.
47,Women Hold Up the Sky,2019,36 min,"
Documentary, Short            ",NA,NA,Yaba Badoe,"Sharon Farr,Nelson Makengo",NA,"As the planet hurtles towards climate collapse, follow the powerful stories of African women and their fight for justice against dirty energy and development projects that destroy their lands, lives and communities."
48,Love Faces,2017,NA,"
Drama, Romance, Thriller            ",NA,NA,Usama Mukwaya,"Michael Wawuyo Jr.,Elizabeth Bwamimpeke,Raymond Rushabiro,Laura Kahunde",NA,A young vibrant couple dealing with relationship issues witnesses extraordinary scenarios that changes their lives forever.
49,Rescue Team,2011,91 min,"
Action            ",8.8,NA,Nabwana I.G.G.,"Kizza Manshoor,Sserunya Ernest,Ainembabazi Hawah,Bisaso Dauda",98,A rescue team is on a dangerous mission into the jungle!!!!
50,The Girl in the Yellow Jumper,2020,81 min,"
Thriller            ",5.4,NA,Loukman Ali,"Michael Wawuyo Jr.,Rehema Nanfuka,Maurice Kirya,Michael Wawuyo",486,"A man reappears after being kidnapped, but you'd never believe his story."
51,Who Killed Captain Alex?,2010,64 min,"
Action, Crime, Mystery            ",8.1,NA,Nabwana I.G.G.,"Kakule William,Sserunya Ernest,G. Puffs,Kavubu Muhammed","8,646","Uganda's president gives Captain Alex the mission to defeat the Tiger Maffia, but Alex gets killed in the process. Upon hearing the tragic news, his brother investigates to avenge Alex."
52,Akanda,2021,5 min,"
Short, Fantasy            ",9.8,NA,Akram Kamya,Kizito Samuel Saviour,122,A brief short experimental film about getting lost on a lake
53,Bad Black,2016,68 min,"
Action            ",7.5,NA,Nabwana I.G.G.,"Bisaso Dauda,Nakaye Jane,Kabuye John,Alan Hofmanis",827,A mild-mannered doctor is trained in the art of ass-kicking commando vengeance by a no-nonsense ghetto kid named Wesley Snipes.
54,Imperial Blue,2019,90 min,"
Drama, Fantasy, Thriller            ",4.8,NA,Dan Moss,"Ashish Verma,Paul Dewdney,Nicolas Fagerberg,Durassie Kiangangu",243,"Hugo Winter a roguish American drug smuggler, travels to Uganda in an attempt to export a large amount of Bulu, a sacred herb that grants the user visions of their future. Upon arriving in ...                See full summary »"
55,The Blind Date,2021,29 min,"
Short, Action            ",8.2,NA,Loukman Ali,"Michael Wawuyo Jr.,Martha Kay,Raymond Rushabiro,Patriq Nkakalukanyi",13,"Jeff has a crush on a girl that's way outside his social class but he won't let that stop him. He'll do whatever it takes, including breaking a few rules."
56,Ani Mulalu? The Crazy World,2014,82 min,"
Action            ",7.5,NA,Nabwana I.G.G.,"Isaac Newton Kizito,Kirabo Beatrice,Nattembo Racheal Monica,Kayibaare Fausitah",480,"After a commando's daughter is kidnapped by the Tiger Mafia, he goes insane and starts a quest to stop the kidnappings with the father of another kidnapped child."
57,Hidden Agenda,,65 min,"
Drama            ",9.7,NA,Ssembatya Shafiq,"Nababi Milly .H.,Kiwanuka Abdulmalik,Xandra Aroth,Bagura Ben",6,Tasha (Namutebi Munirah) was a slay queen who used to spend more than she earned. Mr. Mutebi (Ssali Matia) was an ordinary businessman who invested in the wrong pyramid circle.
58,Sixteen Rounds,2021,37 min,"
Short, Thriller            ",8.2,NA,Loukman Ali,"River Dan Rugaju,Natasha Sinayobye,Jack Kinobe Sserunkuuma,Michael Wawuyo Jr.",9,The film revolves around a former army man Captain Ddamba (Michael Wawuyo Jr.) and his wife Dorothy Natasha Sinayobye and their messy love life characterized by infidelity.
59,Mzungu (n.) White-Wanderer,2010,80 min,"
Documentary, Adventure, Drama            ",9.2,NA,Shane Gilbert,"Shane Gilbert,Daniel Adams,Eric Byington,Scott Byington",12,"This feature length documentary, Mzungu, is our story about personal change, sacrifice, adventure, and ultimately the power of love and community. You will embark on a journey into the ...                See full summary »"
60,Once Upon a Time in Uganda,2021,94 min,"
Documentary            ",7.6,NA,Cathryne Czubek,"Hugo Perez,Asiimwe Apollo,Bukenya Charles,Bisaso Dauda,V.J. Emmie",9,A brick maker in Uganda becomes an Internet sensation when he tries his hand at making action movies.
61,Bukunja Tekunja Mitti: The Cannibals,2012,76 min,"
Action, Horror            ",9.2,NA,Nabwana I.G.G.,"Andrew Wagaba,Nakatudde Madinah,Kigozi Juma,Sserunya Ernest",58,It's an action packed movie
62,Tebaatusasula: Ebola,,102 min,"
Action            ",NA,NA,Nabwana I.G.G.,"Alan Hofmanis,Francisco Rodríguez Prieto,Toni Rodriguez,Bukenya Charles",NA,Ebola hunters stomp out the Ebola virus while in a third world country.
63,Fidelity,2019,12 min,"
Short, Drama            ",NA,NA,Kizito Samuel Saviour,"Angèl Toni Acer,Rose Basemera,Namara Jolly,Josephine Kabahuma",NA,"A campus student, Claire's heart is put to the edge as her life, friendship, love and trust is tested by her friends."
64,Kung Fu Brothers,2020,72 min,"
Action            ",NA,NA,Nabwana I.G.G.,"Asiimwe Apollo,Nsamba Francis,Isaac Newton Kizito",NA,Add a Plot
65,27 Guns,2018,NA,"
Action, Adventure, Biography            ",7.5,NA,Natasha Museveni Karugire,"Arnold Mubangizi,Diana Museveni Kamuntu,Sezi Jedidiah Nuwewenka,Godwin Ahimbisibwe",14,27 Guns is a biopic based on true events of Uganda's liberation struggle. It tells the story of a young man and his unlikely group of young idealists who leave all to fight for salvation of...                See full summary »
66,Tebaatusasula,2010,NA,"
Action            ",9.3,NA,Nabwana I.G.G.,Sserunya Ernest,27,Add a Plot
67,The Future of Work and Death,2016,88 min,"
Documentary            ",6.9,NA,Sean Blacknell,"Wayne Walsh,Stuart Armstrong,Isaac Asimov,Peter Cochrane,Joanna Cook",197,Leading thinkers explore how technology is going to shape the future of humanity.
68,Call Me Kuchu,2012,87 min,"
Documentary, Drama            ",7.6,80        ,Katherine Fairfax Wright,"Malika Zouhali-Worrall,David Bahati,David Kato,Gilles Muhame,Naome Ruzindana",792,"In Uganda, a new bill threatens to make homosexuality punishable by death. David Kato - Uganda's first openly gay man - and his fellow activists work against the clock to defeat the ...                See full summary »"
69,Ejjini lye ntwetwe,2015,93 min,"
Adventure, Thriller            ",NA,NA,Nabwana I.G.G.,"Wephukulu Anthony,Kasirye John Bosco,Bisaso Dauda,V.J. Emmie",NA,Add a Plot
70,Ddamba,2022,NA,"
Action            ",NA,NA,Loukman Ali,"Michael Wawuyo Jr.,Natasha Sinayobye",NA,A feature length film based on the Sixteen Rounds (2021)'s short film.
71,Pandora's Box,II 2019,75 min,"
Documentary            ",4.8,NA,Rebecca Snow,,17,Lifting the lid on menstruation.
72,Ghosts of our Forest,2017,63 min,"
Documentary            ",8.8,NA,Daniel Roher,,12,"After an indigenous Ugandan tribe is violently removed from its forest home, the survivors are left to reconcile with the ghosts of their ancestors as they struggle to maintain their cultural identity."
73,Kony: Order from Above,2017,90 min,"
War            ",7.8,NA,T. Steve Ayeny,"T. Steve Ayeny,Elizabeth Akullu,Okuyo Prynce Joel,Michael Wawuyo",8,"Two children (Otti and Aguti) fall in love during the tumultuous Northern Uganda Lord's Resistance Army (LRA) insurgency, but are separated when Otti is abducted at the age of 11. While in ...                See full summary »"
74,Imba Means Sing,2015,75 min,"
Documentary, Music            ",7.8,NA,Danielle Bernstein,,70,"IMBA MEANS SING is a character-driven heartfelt story of resilience and the impact of education. The film follow Angel, Moses and Nina from the slums of Kampala, Uganda through a world tour...                See full summary »"
75,RAHMAH: Silent Voices Series,2021,38 min,"
Family            ",NA,NA,Joel Mendez,"Swafrah Kitibah,Fragy Nabulo,Sandra Namuyanja,Kasana Richard",NA,Her dreams bundled to zero for love.
76,Dominique Corti: a Life's Journey,2016 TV Movie,52 min,"
Documentary, Biography            ",NA,NA,Filippo Campo,"Roberto Campo,Francesco Bevilacqua,Bruno Corrado,Dominique Corti,Giuseppina Corti",NA,"International health care advocate, Dr. Dominique Corti is the daughter of one of Canada's first female surgeons, Lucille Teasdale and Italian pediatrician, Piero Corti, founders of the ...                See full summary »"
77,The Pearl of Africa,2016,92 min,"
Documentary, Adventure, Drama            ",6.7,NA,Jonny von Wallström,,130,"Captures an intimate's struggle for the right to love. Following a Ugandan transgender girl, forced to leave her country."
78,Operation Kakongoliro! The Ugandan Expendables,,NA,"
Action            ",NA,NA,Nabwana I.G.G.,,NA,Plot unknown.
79,Veronica's Wish,2018,NA,"
Drama            ",7.0,NA,Rehema Nanfuka,"Nisha Kalema,Mushema Housen,Malaika,Symon Base Kalema",9,'Michael and Veronica are living their soulmate life and engaged to marry but their journey takes a drastic turn when Veronica gets hit by mysterious illness days away from her wedding. Veronica must choose between love and saving lives.
80,Eaten Alive in Uganda,,NA,"
Horror            ",NA,NA,Nabwana I.G.G.,"Alan Hofmanis,Asiimwe Apollo,Kasirye John Bosco,Kazibwe Ronald",NA,Plot unknown.
81,The Return of Uncle Benon,2011,75 min,"
Action            ",8.0,NA,Nabwana I.G.G.,"Bukenya Charles,Lutalo,Sserunya Ernest,Kizza Manshoor",178,Gladwell becomes Madwell and has some badwell guys :)
82,Raising,2020,NA,"
Short, Music            ",NA,NA,Humrich,,NA,Add a Plot
83,Precision: The Child Drug Trafficking,2018,80 min,"
Action            ",7.1,NA,Sserunya Ernest,"Nawambira Alawiya,Ssembatya Ashiraf,Sserunya Ernest,Paul J. Falzone",9,"Duke, the American goes to Kampala, the capital city of Uganda to visit his brother Paul. Once arrived street kids steals his luggage. He decides to go after them. They lure him into a ...                See full summary »"
84,Jamaa,2011,42 min,"
Short, Drama, Family            ",7.8,NA,Michael Landon Jr.,"Benjamin Abemigisha,Joel Atiku Prynce,Joanitta Bewulira-Wandera,Ben Greathead",18,This short is inspired by the true story of two Ugandan AIDS orphans who go on an extraordinary journey and take with them a mysterious box on wheels.
85,The Route,2013,67 min,"
Drama            ",6.2,NA,Jayant Maru,"Felix Bwanika,Ongaria Ezra,Edlyn Sabrina,Detoro Sharon",13,The Route is a feature film about a teenage girl whose dad dies and she is left with her mother who can't afford to pay for her high school so she decide to move to Kampala city to look for...                See full summary »
86,Softwaring Hard,2014,79 min,"
Documentary, News            ",7.3,NA,Alex Sebastian Laibach,"Vanda Ciuban Serban,Sebastian Deery,Antonia Iulia Pop,Marie Goursolas",60,A documentary about the world of software and the software makers. How do people from outside the industry see it and what do people from inside the industry think about regular computer users?
87,Engato,2020,60 min,"
Drama, Sport            ",NA,NA,Moses Devoss,"Moses Devoss,Nana Kay,Nelimah Sumaya,Ssemwanga Juma",NA,"Larry got a measurable life after losing his young brother juma when they were skating, and his retired soldier dad hated him and blamed him for the death of his brother."
88,Jackie and the Genie,2018,120 min,"
Fantasy            ",NA,NA,Andrew Wagaba,"Mutebi Farouke,Nsabimana Innocent,Yasin Lubowa,Patricia Nabakooza",NA,A young girl has a difficult life living on the outskirts of Kampala with problems at home and at school. A chance encounter with a Genie changes her life when he gives her magic powers. ...                See full summary »
89,Who Will Start Another Fire,2021,130 min,"
Drama            ",4.4,NA,Lesley Steele,"Nicole Magabo,Jermaine Manigault,Olive Nwosu,Nicole Otero,Faye Ruiz,Samira Saraya,Peier Tracy Shen,Alex Westfall,Emily Packer",7,"An omnibus film featuring nine works by emerging filmmakers of color, Who Will Start Another Fire is the inaugural project of Dedza Films, a distribution company focused on showcasing ...                See full summary »"
90,Isaak Ninja,2022,NA,"
Action            ",NA,NA,Nabwana I.G.G.,,NA,Add a Plot
91,Power,V 2016,90 min,"
Documentary            ",NA,NA,Michèle Ohayon,"Alexis Spraic,Frances Arnold,Andrew Chung,Daniel Kammen,Nate Lewis",NA,"Power is the electrical and mechanical energy that makes our lives possible. Power is the possession of control, authority or influence over others. Power is the ability to act. We have the...                See full summary »"
92,Black,I 2012,NA,"
Action            ",8.6,NA,Nabwana I.G.G.,"Nalwanga Gloria,Alan Hofmanis,Sserunya Ernest,Bisaso Dauda",43,Add a Plot
93,Kuhani,2013,7 min,"
Short, Fantasy            ",8.7,NA,Ntare Guma Mbaho Mwine,"Charlotte Cornwell,Ntare Guma Mbaho Mwine,Anania Ngoliga,Abiodun Ojora",20,A conflicted African priest wrestles with his conscience.
94,Tiger Mafia,,NA,"
Action            ",NA,NA,Nabwana I.G.G.,,NA,Add a Plot
95,Kyenvu,2018,20 min,"
Short, Drama            ",NA,NA,Kemiyondo Coutinho,"Kemiyondo Coutinho,Michael Wawuyo Jr.,Yusuf Boxa Kaija,Felix Bwanika",NA,An unexpected love affair is formed at a taxi stop in Uganda and is forever changed by a wardrobe choice.
96,Escape from Uganda,2013,173 min,"
Thriller            ",5.2,NA,Rajesh Nair,"Vijay Babu,Sam Bagenda,Joju George,Rima Kallingal",115,A woman gets framed for a crime that she didn't commit. And it is up to her husband to save her from the notorious Uganadan prison.
97,Women Hold Up the Sky,2019,36 min,"
Documentary, Short            ",NA,NA,Yaba Badoe,"Sharon Farr,Nelson Makengo",NA,"As the planet hurtles towards climate collapse, follow the powerful stories of African women and their fight for justice against dirty energy and development projects that destroy their lands, lives and communities."
98,Love Faces,2017,NA,"
Drama, Romance, Thriller            ",NA,NA,Usama Mukwaya,"Michael Wawuyo Jr.,Elizabeth Bwamimpeke,Raymond Rushabiro,Laura Kahunde",NA,A young vibrant couple dealing with relationship issues witnesses extraordinary scenarios that changes their lives forever.
99,Rescue Team,2011,91 min,"
Action            ",8.8,NA,Nabwana I.G.G.,"Kizza Manshoor,Sserunya Ernest,Ainembabazi Hawah,Bisaso Dauda",98,A rescue team is on a dangerous mission into the jungle!!!!
100,The Girl in the Yellow Jumper,2020,81 min,"
Thriller            ",5.4,NA,Loukman Ali,"Michael Wawuyo Jr.,Rehema Nanfuka,Maurice Kirya,Michael Wawuyo",486,"A man reappears after being kidnapped, but you'd never believe his story."
101,Who Killed Captain Alex?,2010,64 min,"
Action, Crime, Mystery            ",8.1,NA,Nabwana I.G.G.,"Kakule William,Sserunya Ernest,G. Puffs,Kavubu Muhammed","8,646","Uganda's president gives Captain Alex the mission to defeat the Tiger Maffia, but Alex gets killed in the process. Upon hearing the tragic news, his brother investigates to avenge Alex."
102,Akanda,2021,5 min,"
Short, Fantasy            ",9.8,NA,Akram Kamya,Kizito Samuel Saviour,122,A brief short experimental film about getting lost on a lake
103,Bad Black,2016,68 min,"
Action            ",7.5,NA,Nabwana I.G.G.,"Bisaso Dauda,Nakaye Jane,Kabuye John,Alan Hofmanis",827,A mild-mannered doctor is trained in the art of ass-kicking commando vengeance by a no-nonsense ghetto kid named Wesley Snipes.
104,Imperial Blue,2019,90 min,"
Drama, Fantasy, Thriller            ",4.8,NA,Dan Moss,"Ashish Verma,Paul Dewdney,Nicolas Fagerberg,Durassie Kiangangu",243,"Hugo Winter a roguish American drug smuggler, travels to Uganda in an attempt to export a large amount of Bulu, a sacred herb that grants the user visions of their future. Upon arriving in ...                See full summary »"
105,The Blind Date,2021,29 min,"
Short, Action            ",8.2,NA,Loukman Ali,"Michael Wawuyo Jr.,Martha Kay,Raymond Rushabiro,Patriq Nkakalukanyi",13,"Jeff has a crush on a girl that's way outside his social class but he won't let that stop him. He'll do whatever it takes, including breaking a few rules."
106,Ani Mulalu? The Crazy World,2014,82 min,"
Action            ",7.5,NA,Nabwana I.G.G.,"Isaac Newton Kizito,Kirabo Beatrice,Nattembo Racheal Monica,Kayibaare Fausitah",480,"After a commando's daughter is kidnapped by the Tiger Mafia, he goes insane and starts a quest to stop the kidnappings with the father of another kidnapped child."
107,Hidden Agenda,,65 min,"
Drama            ",9.7,NA,Ssembatya Shafiq,"Nababi Milly .H.,Kiwanuka Abdulmalik,Xandra Aroth,Bagura Ben",6,Tasha (Namutebi Munirah) was a slay queen who used to spend more than she earned. Mr. Mutebi (Ssali Matia) was an ordinary businessman who invested in the wrong pyramid circle.
108,Sixteen Rounds,2021,37 min,"
Short, Thriller            ",8.2,NA,Loukman Ali,"River Dan Rugaju,Natasha Sinayobye,Jack Kinobe Sserunkuuma,Michael Wawuyo Jr.",9,The film revolves around a former army man Captain Ddamba (Michael Wawuyo Jr.) and his wife Dorothy Natasha Sinayobye and their messy love life characterized by infidelity.
