,Title,Year of Release,Watch Time,Genre,Movie Rating,Metascore of movie,Director,Cast,Votes,Description
32,Train Station,I 2015,97 min,"
Crime, Drama, Mystery            ",5.8,NA,Xavier Agudo,"Tony Pietra Arjuna,Ryan Bajornas,Surya Balakrishnan,Nicola Barnaba,Petras Baronas,Juliane Block,Ian Bonner,Julia Caiuby,Gregory Cattell,Diane Cheklich,Vicky Choromidou,Hesam Dehghani,Todd Felderstein,Ingrid Franchi,Yango Gonzalez,Vania Ivanova,Yosef Khouwes,George Korgianitis,Joycelyn Lee,Craig Lines,Athanasia Michopoulou,Isazaly Mohd Isa,Daniel Montoya,Omer Moutasim,Marc Oberdorfer,Tiago P. de Carvalho,Aditya Pawar,Kevin Rumley,Andrés Sandoval,Guillem Serrano,Marty Shea,Nitye Sood,Amirah M. Tajdin,Dzenan Tarakcija,Adrian Tudor,John Versical,Kresna D. Wicaksana,Rafael Yoshida,Patrick Gorman,Judith Hoersch,Yoann Sover,Shirin Esmaeeli",162,"When a mysterious train accident forces a man to change his plans, he is confronted with a series of choices. Each decision he makes leads to a different scenario, each one filmed by a different director with a different cast."
33,Suomen Marsalkka,2012,50 min,"
Drama            ",2.2,NA,Gilbert K. Lukalia,"Telley Savalas Otieno,Beatrice Wangui,Ruth Maingi,Jacky Vike",348,"A film about Gustaf Mannerheim, Marshall and 6th President of Finland."
34,Softie,2020,96 min,"
Documentary            ",7.5,73        ,Sam Soko,"Charles Njagua Kanyi,Uhuru Kenyatta,Khadija Mohamed-Churchill,Christopher Msando",145,"Political activist Boniface ""Softie"" Mwangi runs for office in a regional Kenyan election, which puts pressure on his young family and his convictions."
35,The Tiger Mafia,2016,100 min,"
Documentary            ",6.7,NA,Karl Ammann,"Merz Laurin,Natasha Mago,Derek Watts",33,The planets favourite wild creature speed bred and factory farmed for body parts
36,Soul Boy,2010,61 min,"
Drama            ",6.7,NA,Hawa Essuman,"Tom Tykwer,Samson Odhiambo,Leila Dayan Opou,Krysteen Savane,Frank Kimani",386,A Kenyan boy goes on a strange journey to return his father's soul.
37,The Real Househelps of Kawangware,2014,21 min,"
Short, Comedy            ",NA,NA,Philip Karanja,"Douglas Muigai,Ester Chebet,Steven Oduor Dede,Kat Kenzie",NA,Add a Plot
38,Kati Kati,2016,75 min,"
Drama            ",6.7,NA,Mbithi Masya,"Nyokabi Gethaiga,Elsaphan Njora,Paul Ogola,Peter King Nzioki",122,"A young woman with no memory of her life or death, is helped with assimilation to the afterlife by a ghost."
39,18 Hours,2017,70 min,"
Drama, Thriller            ",6.8,NA,Njue Kevin,"Nick Ndeda,Sue Wanjiru,Brian Ogola,Brian Achar",21,A rookie paramedic spends 18 hours in an ambulance for the life of a road crash victim who struggles to be admitted to any hospital.
40,Sacred,2016,87 min,"
Documentary            ",7.1,60        ,Thomas Lennon,,63,Møre than 40 filmmakers travelled the globe to witness religious celebrations and interview people from all sorts of background.
41,Daleko za sluncem,2015,76 min,"
Documentary, Drama            ",8.4,NA,Olga Spátová,,67,"Director Olga Spatova's documentary Far Beyond the Sun, produced by HBO Europe, maps the life of paramedic Ales Barta, who decided to found a hospital in one of the poorest parts of Africa....                See full summary »"
42,Kidnapped,III 2017,83 min,"
Thriller            ",7.5,NA,Nick Njache,"Lydia Gitachu,John Kararahe,Daniel Katungi,Gilbert K. Lukalia",42,"What happens when a successful businessman is confronted by the toughest battle of his life in the form of his disgruntled long term ex - girlfriend, when she finds out that he has a pregnant fiance?"
43,Plan B,I 2019,60 min,"
Comedy, Romance            ",7.7,NA,Lowladee Omolola Adeleke,"Sarah Hassan,Catherine Kamau,Daniel Etim Effiong,Lenana Kariba",23,A young and struggling fashion stylist navigates through life after a life-altering one night stand.
44,Sincerely Daisy,2020,87 min,"
Comedy, Drama, Romance            ",NA,NA,Nick Mutuma,"Ellah Maina,Sam Psenjen,Mbeki Mwalimu,Brian Abajah",NA,"Daisy is a happy high school graduate, whose dreams, expectations, passion and confidence are significantly affected by family and romantic drama"
45,The Last Survivor,2010,92 min,"
Documentary, History            ",7.0,NA,Michael Kleiman,Michael Pertnoy,39,"The Last Survivor presents the stories of genocide survivors and their struggle to make sense of tragedy. They work to educate, motivate and promulgate a civic response to mass atrocity ...                See full summary »"
46,Last Migration,2015,60 min,"
Adventure, Drama            ",NA,NA,Chase Sui Wonders,"Grant Sui Wonders,Clark Sui Wonders,Chase Sui Wonders,Olivia Sui,Clark Sui Wonders,Jeannie Sui Wonders",NA,Some people only dream of running away
47,Men in the Arena,2017,85 min,"
Documentary, News, Sport            ",8.1,NA,J.R. Biersmith,"Barkhad Abdi,Mark Bowden,Sa'ad Hussein,Saadiq Mohammed",35,Two Somali soccer stars chase impossible dreams in this human rights story born out of civil war and terror.
48,Gaza,2022,90 min,"
Crime, Thriller            ",NA,NA,Adede Odhiambo,"Lorene Tesoti,Nancy Wanjiru,Lucy Wangui Karanja",NA,"Framed for the murder of her husband, Bobo is wrongly sentenced to seven years in prison. Upon release, Bobo is forced into a life of crime. She struggles to escape the clutches of the Gaza...                See full summary »"
49,Morning After,2020,13 min,"
Short, Comedy            ",NA,NA,Brian Munene,"Charlie Karumi,Foi Wambui,Millicent Ogutu,Jacob Otieno",NA,"A twenty-one-year-old promiscuous boy goes through the longest morning of his life after he discovers that his staunch Christian mother has washed the clothes of a girl, he sneaked home for a one-night stand."
50,Pandora's Box,II 2019,75 min,"
Documentary            ",4.8,NA,Rebecca Snow,,17,Lifting the lid on menstruation.
51,Nafsi,2021,137 min,"
Drama            ",NA,NA,Reuben Odanga,"Catherine Kamau,Mumbi Maina,Alfred Munyua,Alex Mwakideu",NA,A friendship is put in jeopardy when a mutual agreement goes south
52,6000 km di paura,1978,90 min,"
Action, Adventure            ",4.6,NA,Bitto Albertini,"Marcel Bozzuffi,Olga Bisera,Joe Dallesandro,Eleonora Giorgi",45,"The older Paul Stark and the young Joe Massi, two rally drivers, are rivals in the race but not only: Paul finds out that between his wife Sandra and Joe there is some tender."
53,Subira,2018,99 min,"
Drama            ",4.7,NA,Ravneet Sippy Chadha,"Brenda Wairimu,Tirath Padam,Nice Githinji,Ali Mwangola",49,"A free-spirited young girl, in Lamu struggles to live out her unique dream of swimming in the ocean, against local customs and an arranged upper- class marriage. Does Subira have the courage to take her dream on, against all odds?"
54,Lusala,2019,65 min,"
Drama            ",7.2,NA,Mugambi Nthiga,"Brian Ogola,Stycie Waweru,Alan Oyugi,Alyce Wangari",43,"Lusala, adopted by an affluent Nairobi family a decade ago is imposed on to leave home and start on his own. Eager and willing at first, he makes the most of his life, until the demons from his past return, and he faces them on his own."
55,Pumzi,2009,21 min,"
Short, Sci-Fi            ",7.3,NA,Wanuri Kahiu,"Kudzani Moswela,Chantelle Burger,Tammy Richards,Nicole Bailey",317,"A sci-fi film about Africa in the future, 35 years after World War III, the water war."
56,In Search...,2018,90 min,"
Documentary, Biography            ",7.9,NA,Beryl Magoko,"Gati Magoko,Jule Katinka Cramer,Beryl Magoko",21,A courageous and determined young woman talks about her experiences going through Female Genital Mutilation and the need to undergo a reconstructive surgery on her genitals.
57,Pelada,2010,90 min,"
Documentary, Sport            ",7.3,NA,Luke Boughen,"Rebekah Fergusson,Gwendolyn Oxenham,Ryan White",345,"Away from the bright lights and manicured fields, there's another side of soccer. Two players, twenty-five countries, one game."
58,Silas,2017,80 min,"
Documentary            ",8.2,NA,Hawa Essuman,"Anjali Nayar,Marlay Siakor,Silas Siakor",64,"Anjali Nayar and Hawa Essuman profile the life of Liberian activist Silas Siakor, a tireless crusader against illegal logging and a symbol of resistance for a new generation."
59,Beauty Bites Beast,2015,90 min,"
Documentary            ",6.4,NA,Ellen Snortland,"Lisa Long,Bob Joles,Gavin de Becker,Dolores Huerta",7,"BBB flips ideas about female helplessness, as women undertake the transformational experience of learning verbal, emotional and physical empowerment based self-defense. How often can you say a movie will save lives? This one already has."
60,Stroop: Journey into the Rhino Horn War,2018,134 min,"
Documentary            ",9.0,NA,Susan Scott,"Bonné de Bod,Axel Tarifa,Kruger Ranger,Imfolozi Ranger",69,A 4 year investigation into South Africa's rhino poaching crisis involved going against some of the most nasty criminal networks. And alongside the rangers in South Africa's rhino ...                See full summary »
61,Disappearing Species: The Rhinocaust,2020,NA,"
Documentary            ",NA,NA,Noah Berlow,Rachel Reenstra,NA,"Over the last 20 years the Earth has lost half of its wildlife. The 12 episode 47 mins. series ""Disappearing Species"" will explore the cause and take a look into what can be done by the human population to reverse this alarming situation."
62,Eye of the Future,2011,40 min,"
Short, Adventure, Drama            ",5.0,NA,Catherine Cunningham,"Zein Ateek,Kevin Balmore,Christopher Bones,Giselle Etessami",12,The 'Eye of the Future' is about five children from around the world charged by the earth to share their stories of climate solutions and sustainable designs from their home regions; ...                See full summary »
63,Access to the Danger Zone,2012,70 min,"
Documentary, History, War            ",7.4,NA,Peter Casaer,"Eddie Gregoor,Daniel Day-Lewis",27,Access to the Danger Zone is a film narrated by Daniel Day-Lewis about victims of war and their need for humanitarian aid. It describes the difficulties and dangers humanitarian ...                See full summary »
64,In My Genes,2009 Video,77 min,"
Documentary, Drama            ",6.9,NA,Lupita Nyong'o,"Fatma Abdallah,Grace Karihe,Delphine Karumba,Benedict Kinyua",25,What is it like to be 'white' in a 'black' society? How does it feel to be a member of one of the most hyper-visible and yet invisible groups of people?
65,Women Like Us,2017,92 min,"
Documentary            ",8.8,NA,Sally Colon-Petree,"Catt Sadler,Sally Colon-Petree,Joyce Giraud,Caroline Barnett",10,Women Like Us is a story about women who are changing the world.
66,"Hemingway, the Hunter of Death",2001,NA,"
Adventure, Drama            ",5.8,NA,Sergio Dow,"Albert Finney,Paul Guilfoyle,Fele Martínez",16,"During the Kenyan struggle for independence from the British in the late 1950s, a scientific safari led by Ernest Hemingway undertakes the ascent of Mount Kenya. Hemingway has been warned ...                See full summary »"
67,The Pearl of Africa,2016,92 min,"
Documentary, Adventure, Drama            ",6.7,NA,Jonny von Wallström,,130,"Captures an intimate's struggle for the right to love. Following a Ugandan transgender girl, forced to leave her country."
68,Is This Real?,2018,4 min,"
Animation, Short            ",NA,NA,Stefano Cassini,,NA,"Set in a vast desert landscape, we follow a solitary creature's journey trying to find form and meaning in a big and lonely world."
69,More 4 Me,2012,88 min,"
Documentary, Adventure            ",8.9,NA,Lincoln Fenner,"Lincoln Fenner,Vincent Jerman-Jerosa,Marina Prior",59,"In the face of the global financial crisis we follow one man's journey around the world, as he asks 'What's the one thing we can't live without?' Interviews with everyone from actors and ...                See full summary »"
70,World Tofauti,2017,71 min,"
Drama, Romance            ",NA,NA,Kang'ethe Mungai,"Avril,Innocent Njuguna,Maureen Njau",NA,A well to do man comes across a woman from one of Nairobi's ghettos. Their initial enmity thaws in something else as she helps him recover his goods following a robbery in which she participated.
71,Hunted,VI,NA,"
Thriller            ",NA,NA,NA,,NA,Add a Plot
72,African Metropolis,2013,92 min,"
Comedy, Drama, Romance            ",6.2,NA,Jim Chuchu,"Ahmed El Ghoneimy,Folasakin Iwajomo,Marie Ka,Philippe Lacôte,Vincent Moloi",17,The African Metropolis project includes six short films set in six major African metropolitan centers. The African Metropolis Short Film Project is an initiative of the Goethe-Institut ...                See full summary »
73,Massai - Les guerriers de la pluie,2004,94 min,"
Drama            ",6.4,61        ,Pascal Plisson,"Ngotiek Ole Mako,Paul Nteri Ole Sekenan,Parkasio Ole Muntet,Musurpei Ole Toroge",216,"After a lion kills the village leader, the expected rains fail to arrive, so a group of warriors are sent to hunt the lion down and kill it in hopes that the rains will come at last."
74,Elephants in the Room,II,NA,"
Family            ",NA,NA,Sergio Navarretta,"Louis Gossett Jr.,Jarnell Stokes",NA,"An unexpected trip to Kenya catapults a wealthy mother of an autistic child to walk away from a privileged, but empty world to discover the real substance of life - for her, and her mysteriously gifted little boy."
75,Milk,I 2015,91 min,"
Documentary, Family            ",7.1,NA,Noemi Weis,"Elisabeth Badinter,Francesco Branca,Ines Fernandez,Fabio Lusvarghi",20,"A universal perspective on the politics, commercialisation and controversies surrounding birth and infant feeding."
76,Unbreakable Spirit,2011,27 min,"
Documentary, Short, Biography            ",NA,NA,Roland Kuehn,,NA,"Uplifting story of Lynette Kisala, a Kenyan school teacher living with AIDS who, despite extreme hardship, runs a school for orphans and HIV positive children in rural Kenya. With the help ...                See full summary »"
77,Adisa,2021,29 min,"
Short, Drama            ",7.8,NA,Simon Denda,"Victoria Mayer,Jackline Wanjiku,Götz Otto,Robert Agengo",13,"Susanne, chief diplomat and representative of the European Union, visits a remote village on the Somali border that was the victim of a terrorist attack. While the bereaved put all hope in ...                See full summary »"
78,Kifaru,2019,79 min,"
Documentary            ",7.9,NA,David Hambridge,,41,"KIFARU is a feature documentary that journeys beyond the global headlines that have accumulated around 'Sudan,' the last male northern white rhino in existence, and explores the painful ...                See full summary »"
79,Lost Kites,2016,50 min,"
Documentary            ",7.1,NA,Samuel Rich,Gabriella Fritz,36,Three abandoned lives tossed by the winds. One global call to restore families.
80,Out & Around,2015,85 min,"
Documentary, Adventure            ",6.2,NA,Lauren Fash,"Ryan Suffern,Jennifer Chang,Abbie Cornish,Lisa Dazols,Manvendra Singh Gohil",39,"Inspired to seek out stories of hope, a lesbian couple decides to leave behind their successful careers and life in San Francisco to embark on a year-long journey to find the international ...                See full summary »"
81,The Legend of Lwanda Magere,2020,10 min,"
Animation, Short            ",NA,NA,Kwame Nyong'o,"Iddi Achieng,Junior Nyong'o",NA,"On the shores of the great lake of Africa, a virtuous young warrior is gifted with superhuman powers, powers that act to test his integrity and mores."
82,Pearls of Africa,I,94 min,"
Drama            ",NA,NA,Sharon Agina,"Bevan Viljoen,Mike Mitchell,Tony Pankhurst,Manoj Anand",NA,"Set in Kenya, during the late 1980s. A powerful tale of two people brought together by their love for each other but separated by the hate and prejudice of others."
83,Midlife Crisis,2020,NA,"
Comedy            ",NA,NA,Zippy Okoth,"Nyawira Alison,Keith Chuaga,Kauthar Kang'ethe,Ruth Maingi",NA,"When Gigi informs her three friends that she is at the clinic, they all decide to meet up at her place and divulge in deep secrets and moments. They share in laughter, conflicts, love, ...                See full summary »"
84,Yellow Fever,2012,7 min,"
Documentary, Animation, Short            ",6.9,NA,Ng'endo Mukii,"Chipo Kureya,Margaret Njeri Mereka,Sam Nokuzola Moyo,Abriani Njeri",61,"Through memories and interviews with my family, 'Yellow Fever' reflects on the effect globalization is having on African women's attitudes towards beauty."
85,In Another Life,I 2019,77 min,"
Documentary            ",6.8,NA,Philippe de Pierpont,"Assouman,Etu,Innocent,Jean-Marie",18,"Thirty years ago, filmmaker Philippe de Pierpont met six children who were living on the streets in Burundi and promised to film them until they died. Today, he is meeting them again for ...                See full summary »"
86,Sisters of the Savannah,2018,54 min,"
Documentary, Adventure, Family            ",NA,NA,Caitlin Starowicz,Mark Starowicz,NA,"Lions, elephants, and baboons: Three sisterhoods of the savannah, where the mothers rule, and the daughters inherit the wilderness."
87,Understanding Her,2020,12 min,"
Short, Drama            ",NA,NA,Lawrence Murage,"Joe Kinyua,Melissa Kiplagat",NA,"UNDERSTANDing HER is a short film highlighting the life of CALVIN - an upcoming writer, who after a bet, is challenged to come up with a manual to understand women and to help men. He uses ...                See full summary »"
88,Gold - Du kannst mehr als du denkst,2013,102 min,"
Documentary, Biography, Sport            ",8.0,NA,Michael Hammon,"Henry Wanyoike,Kirsten Bruhn,Kurt Fearnley,Heike Bruhn",40,"The emotional story of three outstanding top athletes. Henry Wanyoike, a blind marathon runner from Kenya, Kirsten Bruhn, paralyzed swimmer from Germany and Kurt Fearnley, Australian ...                See full summary »"
89,Pillow Talk,I 2020,NA,NA,NA,NA,Alice Wangui Kombani,"Emmanuel Mugo,Muhugu Theuri",NA,"When a war photographer (James Osoro) in his early thirties wakes up next to a younger supermodel (Aster), the last thing he expects from the scenario is a soul probing conversation."
90,Heartshot,2015,7 min,"
Short, Drama            ",NA,NA,Alexander Ikawah,"Paul Ogola,Corrine Kahi,Ngare Mukiria,Harry Ebale",NA,Heartshot is a short film directed by Alexander Ikawah for the 48 Hour Film Festival Nairobi 2015
91,The Unknown Runner,2013,70 min,"
Documentary, Sport            ",7.2,NA,Boudewijn de Kemp,,32,"A STORY OF STRUGGLE, SACRIFICE AND DEDICATION Discover the world behind the Kenyan long-distance runners. See how they train, live an work hard to realize their dreams. Follow top athlete ...                See full summary »"
92,Veve,2014,95 min,"
Drama            ",6.5,NA,Simon Mukali,"Lowry Odhiambo,Emo Rugene,Lizz Njagah,Conrad Makeni",105,"Follows the lives of multiple characters trying to find themselves in a world of political intrigue, revenge, love and longings for success complemented by the background of their thriving yet unregulated business."
93,The Bushtrackers,1980,101 min,"
Adventure            ",NA,NA,Gary Strieker,"Gordon Parks Jr.,Oliver Litondo,Peter Mann-Jones,Joyce Thorn,Lenny Juma",NA,Add a Plot
94,Jaboya,2020,NA,"
Short, Drama            ",NA,NA,Sebastian Krolak,"Beryl Achieng,Diana Atieno,Martha Atieno,Victor Imbova",NA,"Jaboya, in other words - sex for fish. A term used by Luo People and referring to the transactional relationship between the town's fishermen and the women who are fish traders. Sanaipei ...                See full summary »"
95,Homecoming,IV 2013,11 min,"
Short            ",5.4,NA,Jim Chuchu,"Elsaphan Njora,Patricia Kihoro,Shiv Singh",10,"Fantasy, science fiction and infatuation fuse as an obsessed neighbour invents ever stranger scenarios for wooing the girl of his dreams."
96,Men Against the Sun,1953,65 min,"
Adventure, Drama            ",4.2,NA,Brendan J. Stafford,"John Bentley,Zena Marshall,Liam O'Leary,Alan Tarlton",50,"An adventure story dealing with the building of a railway in Africa at the turn of the century. It tells of a group of white people and the many difficulties that beset them, including that...                See full summary »"
97,Mdudu Boy,2016,NA,"
Short, Drama            ",8.3,NA,Ella Smith,"Betty Mbuche,Bahati Baraka,Victor Wanyama,Cindy Mbae",6,A small Kenyan street boy with a passion for football gets a stroke of luck when a brand new football falls off a bus on his coastal road.
98,"Humanite, The Beloved Community",2019,67 min,"
Documentary            ",NA,NA,Jim Hanon,,NA,"Woven from the words, stories, and original melodies of an incredibly diverse cast, 'Humanité, the beloved community,' channels the ethos of civil rights in a raw and compassionate bid for global harmony."
